,PrimerMix,Assay1,Assay2,Assay3,Assay4,Assay5,Assay6,Assay7,Distance1,MDistance1,Distance2,MDistance2,Distance3,MDistance3,Distance4,MDistance4,Distance5,MDistance5,Distance6,MDistance6,Distance7,MDistance7,Distance8,MDistance8,Distance9,MDistance9,Distance10,MDistance10,Distance11,MDistance11,Distance12,MDistance12,Distance13,MDistance13,Distance14,MDistance14,Distance15,MDistance15,Distance16,MDistance16,Distance17,MDistance17,Distance18,MDistance18,Distance19,MDistance19,Distance20,MDistance20,Distance21,MDistance21,mean,min,mod_mean,mod_min
0,PM7.1176,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_01,COC_N_02,COV_N_03,MER_N_04,0.10234831326682181,5.551586107213882,0.2802458162626169,11.666179415386793,0.10036008489728104,4.987924694136308,0.0502341860638125,1.982186398382585,0.0843629956664314,4.1755033518625,0.14884311102061537,7.007869170942699,0.1778975029957951,15.773979825171102,0.0019882283695407676,0.269537481200881,0.052114127203009314,4.136484434084053,0.017985317600390405,2.410866536801454,0.04649479775379356,5.473028036148761,0.17988573136533587,13.877235094324204,0.2300116301988044,12.648526179757663,0.1958828205961855,15.014423922288277,0.13140270524200154,9.331607761076661,0.050125898833468546,3.5093832839943517,0.015997089230849637,1.7493011658274646,0.04848302612333433,4.762575797820611,0.03412880960261891,2.3754913697419875,0.09860892495680287,6.402259047149967,0.06448011535418396,6.2823698690760805,0.10056577298112829,0.0019882283695407676,6.637538997256586,0.269537481200881
1,PM7.1191,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_02,COC_N_01,COV_N_01,MER_N_03,0.10920980387082137,20.499792132728782,0.2848704777831021,28.887253011977023,0.0599758276489049,11.261845818041945,0.0887140525418401,16.160943415675636,0.15262543300112386,23.013381751293437,0.04208264895534171,8.593226718124555,0.17566067391228074,17.046002610227713,0.04923397622191647,8.533916473341634,0.020495751328981265,3.454507524170201,0.0434156291303025,6.135907896246344,0.06712715491547966,12.56868989968391,0.2248946501341972,21.827416786049927,0.196156425241262,18.740205371872097,0.13224504478197824,11.390847815165621,0.2427878288277604,24.58630446490014,0.028738224892935205,4.8452130748854545,0.09264960535221897,13.097422860610607,0.01789317869356319,3.3513856070375483,0.06391138045928377,8.830326824991898,0.04663140358649839,8.47401123684409,0.11054278404578216,16.63425183385258,0.10713628358693209,0.01789317869356319,13.711088244177198,3.3513856070375483
2,PM7.1286,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_04,COC_N_04,COV_N_01,MER_N_02,0.07493128110760305,5.3042015705264305,0.22210050924770622,10.793433732013472,0.3210137087645629,14.558220731329238,0.3914347083941355,16.699508491249837,0.09681395800262052,6.321675511590693,0.0031833042307637116,0.18000999472546542,0.14716922814010316,12.367835724467847,0.2460824276569599,18.40237564076907,0.31650342728653247,21.440600883727686,0.021882676895017467,3.29728059079209,0.07811458533836677,8.673596115736114,0.09891319951685673,4.9898418690336275,0.16933419914642933,7.982767760492935,0.1252865512450857,9.573229414657664,0.22528381347846993,14.57523633539303,0.0704209996295726,3.1042386075550197,0.22419975076194243,15.398182198389993,0.32419701299532666,19.14973583879678,0.29462075039151503,18.471869489304034,0.39461801262489926,21.54130045366697,0.09999726223338423,9.809571432412534,0.18790958890894544,0.0031833042307637116,11.554033923172883,0.18000999472546542
3,PM7.1294,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_04,COC_N_04,COV_N_03,MER_N_02,0.08329960324791366,6.105670445719612,0.23398282221076916,12.117810059707073,0.3331473611886406,15.219348797533929,0.380614532023518,17.44820672297714,0.04991671221613553,3.686883597441945,0.005922967516093169,0.36560400844213514,0.1506832189628555,13.503015661387499,0.24984775794072692,18.184036982642933,0.2973149287756044,21.75869774867239,0.033382891031778134,6.1943785970585035,0.07737663573182049,9.61113973641103,0.09916453897787142,5.110003811669738,0.14663170981274887,7.585628361504003,0.18406610999463363,16.649677959366997,0.228059854694676,16.62639364706705,0.04746717083487745,2.166370275137944,0.28323064897250505,20.77086508179112,0.3272243936725474,20.078246238467667,0.3306978198073825,24.387392434356894,0.37469156450742486,23.098173575305836,0.04399374470004236,5.536079694460224,0.18860557080097928,0.005922967516093169,12.676363020815318,0.36560400844213514
4,PM7.1318,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_01,COC_N_02,COV_N_03,MER_N_02,0.10405248928337862,4.517135063656052,0.24636758850831492,8.733747317210529,0.10200227872396522,4.104338456405502,0.031089532807897308,1.0974311593480455,0.08516854622798381,3.3619504213896385,0.024468447910830915,0.7541610355769143,0.1423150992249363,13.2071353697822,0.0020502105594134012,0.2763371218601569,0.07296295647548132,6.696122518399957,0.018883943055394814,2.390370657796924,0.07958404137254771,5.301530093590609,0.1443653097843497,11.464054893032852,0.2152780557004176,13.39632908603007,0.1611990422803311,12.330085316489914,0.221899140597484,10.993186255304607,0.07091274591606792,5.577732510917437,0.016833732495981413,1.7323555342927,0.07753383081313431,4.607219864603546,0.0540790134200865,4.098660783380963,0.006621084897066393,0.32606817488547263,0.060700098317152895,3.5067431124944686,0.092303199446296,0.0020502105594134012,5.641556892688027,0.2763371218601569
5,PM7.1319,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_01,COC_N_02,COV_N_03,MER_N_03,0.10842412382349695,6.889327389257746,0.24933102996534864,10.899697137490092,0.10108322804817874,5.496306250810036,0.0410169658391584,2.075518674149139,0.08100194373561334,4.184388568808617,0.039119543667539586,1.9292639126995323,0.1409069061418517,10.756604388373017,0.0073408957753182125,0.8520420800731663,0.06740715798433855,6.7496240242151275,0.027422180087883608,2.8616457360403316,0.06930458015595736,6.599520844149313,0.1482478019171699,9.410941125265873,0.20831406412619025,12.165134761799166,0.1683290862297353,10.067698426984965,0.21021148629780906,11.917754586247435,0.06006626220902034,4.752101018148681,0.020081284312565395,1.6411913883184623,0.06196368438063915,4.710422201020176,0.03998497789645494,2.93857034885281,0.0018974221716188122,0.13062477470820802,0.041882400068073755,2.965838767837245,0.09015890594447437,0.0018974221716188122,5.714010305011864,0.13062477470820802
6,PM7.1339,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_02,COC_N_01,COV_N_02,MER_N_03,0.10437627196724256,18.712359788177064,0.25166544154084747,23.947519803719192,0.0588810300432516,10.058454440477893,0.08519733124570031,14.434514741955809,0.10884421309495759,9.2421085316533,0.03998017200245571,8.643703776668028,0.14728916957360488,12.679494426269153,0.04549524192399096,6.5355714046748306,0.019178940721542248,2.7360874770829104,0.004467941127715036,0.34677467024796604,0.06439609996478685,11.233235769015312,0.19278441149759584,16.210886482838983,0.16646811029514713,13.941199881643353,0.14282122844588985,8.016735236222353,0.21168526953839173,19.850925491403935,0.02631630120244871,3.612110392292748,0.049963183051705995,3.7965281032330656,0.018900858040795887,3.1456381068065338,0.023646881849257284,1.7902532380275114,0.0452171592432446,7.465220737937674,0.06886404109250188,5.771520871533829,0.08935425226014637,0.004467941127715036,9.627183017708639,0.34677467024796604
7,PM7.1430,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_04,COC_N_04,COV_N_01,MER_N_02,0.08377705719859288,6.007248049230394,0.2762521683617234,12.857811616794333,0.3253285706552257,14.79106295367004,0.3708104886223871,16.797815129031164,0.1140886298755994,7.171164609377548,0.009535655194357784,0.5871188045528034,0.1924751111631305,13.923077075352722,0.2415515134566328,16.851695800092113,0.2870334314237942,19.913598794250913,0.030311572677006515,3.6748536075334193,0.0742414020042351,8.652382703169422,0.0490764022935023,2.2436849881887966,0.09455832026066369,4.307286468354991,0.162163538486124,10.271614204630469,0.2667165131673656,16.546075624590674,0.04548191796716139,2.0247583838976646,0.2112399407796263,12.961635497454802,0.3157929154608679,18.990032734329407,0.25672185874678766,15.67546581313143,0.3612748334280293,21.62107266639576,0.10455297468124161,9.91604303891076,0.18442784837638357,0.009535655194357784,11.22788088394951,0.5871188045528034
8,PM7.1449,ADE_HEX_06,C22_N_01,CHK_N_06,CNL_N_01,COC_N_01,COV_N_03,MER_N_01,0.1004844190526278,7.567879906666207,0.0880414677289,6.235224217372158,0.0962177028318698,6.966400878763598,0.09163594308486929,5.785719304065804,0.07864257436153325,4.8038105512413765,0.04899076340614576,3.9860156766615953,0.012442951323727802,1.7824522156936784,0.004266716220757999,0.6394508756395056,0.008848475967758507,1.0171730553963725,0.021841844691094542,2.3659709958898505,0.051493655646482034,9.99595629180945,0.008176235102969803,1.088027036880558,0.0035944753559692955,0.37672599067061024,0.00939889336736674,0.932991897941038,0.03905070432275423,6.515275722424154,0.004581759747000508,0.496236504896452,0.017575128470336543,1.7996991811736605,0.047226939425724035,8.306735625115907,0.012993368723336035,1.1018604260081142,0.04264517967872353,5.529720251444356,0.029651810955387492,3.5965252674846444,0.038942905212635,0.0035944753559692955,3.8518977082494814,0.37672599067061024
9,PM7.1451,ADE_HEX_06,C22_N_01,CHK_N_06,CNL_N_01,COC_N_01,COV_N_03,MER_N_03,0.1036692214166494,9.692589750477794,0.08566650493274171,8.021338134713126,0.094859940406864,7.550705507169498,0.08650952187459367,6.838209338537691,0.08117228618939269,5.28856192154849,0.03611596465436541,2.855152116374539,0.018002716483907694,2.8363160952679927,0.008809281009785397,1.0703283328778779,0.017159699542055734,2.062886969794886,0.02249693522725671,2.04219787644064,0.06755325676228399,8.122513659405653,0.009193435474122297,1.1191641494445277,0.0008430169418519595,0.10153892997988992,0.0044942187433490155,0.40855982498108306,0.0495505402783763,5.969297581295604,0.008350418532270337,0.8198234157867033,0.013687654217471312,1.0624274418764375,0.058743975752498595,5.768188462281863,0.005337235685200975,0.41146738510861836,0.05039355722022826,4.905926623215756,0.04505632153502728,3.473961866747773,0.04131741442287108,0.0008430169418519595,3.8295788277774507,0.10153892997988992
