,PrimerMix,Assay1,Assay2,Assay3,Assay4,Assay5,Assay6,Assay7,Distance1,MDistance1,Distance2,MDistance2,Distance3,MDistance3,Distance4,MDistance4,Distance5,MDistance5,Distance6,MDistance6,Distance7,MDistance7,Distance8,MDistance8,Distance9,MDistance9,Distance10,MDistance10,Distance11,MDistance11,Distance12,MDistance12,Distance13,MDistance13,Distance14,MDistance14,Distance15,MDistance15,Distance16,MDistance16,Distance17,MDistance17,Distance18,MDistance18,Distance19,MDistance19,Distance20,MDistance20,Distance21,MDistance21,mean,min,mod_mean,mod_min
0,PM7.1176,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_01,COC_N_02,COV_N_03,MER_N_04,15.270317669531188,6.138207996072539,103.05771394580891,40.46966724378997,13.905631900405705,3.6410149295493763,10.816519609044176,2.295463600518073,89.35962674559784,16.487267423039377,100.27567409843945,35.835839002391694,99.16366400732257,358.6030638501789,1.3653852540284612,0.8813775314885256,4.455777469943865,1.824557478190369,86.63030136850091,27.502531269553486,96.83203279162456,183.3312484275608,99.42244104894854,61.83207486351132,100.07468473860526,40.015344597875355,15.081825677447217,4.700296713065249,3.975438498989884,6.7727629524124975,3.090525290117832,0.8190012856646783,86.76847631594032,19.362267109900063,97.04705906848632,52.18717628135123,87.15944538813721,16.2178744023504,97.60263702299356,35.45884860400629,11.489019202446768,3.320190316444651,58.23067605296954,1.3653852540284612,43.69981313709117,0.8190012856646783
1,PM7.1191,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_02,COC_N_01,COV_N_01,MER_N_03,16.592550869703665,33.74449627721693,103.4213905102198,315.4922105490494,12.54391508985407,20.609487857598552,13.577442302238845,7.828098896464346,89.83006202519356,30.263627045590226,10.648221049392877,8.0737452749116,99.13117480004038,201.71521566379198,4.049731639285692,5.243870046423673,3.0170890091427163,1.589546943934479,86.59932023479688,27.650877333002825,5.944440138642355,4.009735896341387,99.94124864698409,164.27505661771235,99.71947884764899,57.50239994637626,14.500308420462375,4.885578946529224,100.3743984058965,76.12194687396962,1.0338635645591003,0.513079233170108,87.10773039944694,26.81211723179238,1.8974361068970527,1.1863143109281256,86.96037885363357,19.87837795458013,2.930960659196622,1.075487229459477,87.40909392476138,22.07834453035477,48.91572549990464,1.0338635645591003,49.07379117424751,0.513079233170108
2,PM7.1286,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_04,COC_N_04,COV_N_01,MER_N_02,8.966916365861046,2.765626719244504,100.75947793764176,33.056859524032454,102.448504920116,34.72583338472729,102.72362036169417,35.07843669835727,45.27196212106759,6.8879416078738425,0.08935746962573993,0.016135778150015285,98.78346365126573,155.5047495179506,100.36692943801062,186.76791557996037,100.6719366708959,195.26099296806893,43.86115012128815,10.544005449875606,9.054949930446702,2.8975605006988188,2.0436650214812904,5.955059105590353,2.1228304229706563,6.6055834829425635,55.49189493728374,13.993275915450365,100.78269828143772,34.38722346530482,0.48387779812282605,2.164869907871629,57.19473475787333,14.78757611518951,102.47269492917238,36.17156636173142,57.46398394771005,14.941452259922613,102.7474921116029,36.54998054640181,45.2943807250857,7.016518231133856,59.0045962819359,0.08935746962573993,39.81329348192755,0.016135778150015285
3,PM7.1294,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_04,COC_N_04,COV_N_03,MER_N_02,11.007110017401134,6.118501885628829,101.33390614945331,50.90700751840177,103.10516853368567,60.180867145195194,103.46114856991929,61.03483555317751,7.975655390655726,1.5518112144008624,1.7317770191417228,0.42678957645706167,98.77465308509161,160.98826548104694,100.42391839463052,298.66921690035025,100.75840548122306,316.751379831532,3.036364984122341,0.8069941414430488,9.275469502398053,3.4601356071972287,2.0678710538553817,3.9177649649818918,2.470423861173313,4.847005021576519,99.3655015359951,25.12946895593942,100.8559076272606,35.11393211669288,0.4457547151368991,1.91832582886441,101.05107724783224,27.48321701972554,102.60966426598397,39.542307367681275,101.39171093145491,27.712572434767292,102.96262658899488,39.957630979011405,6.244825489180084,1.0371298523493429,60.016616211647154,0.4457547151368991,55.597864733162886,0.42678957645706167
4,PM7.1318,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_01,COC_N_02,COV_N_03,MER_N_02,14.015826374375177,3.795198535077156,101.96838143084715,28.446112303411905,12.90264587684407,2.0398265523297257,6.677176755852798,1.0845229458444132,91.63988297786689,15.774359323658674,5.7949469492943075,0.8722483941622898,98.56363381974617,189.09169761794536,1.1137560148335433,0.3414338678516404,7.339637499878638,2.372661875904025,89.19288975098623,32.48040376102564,8.221414527684088,2.2962786346852213,98.76563668137598,31.318672431995942,100.11643055369412,33.53992008262415,11.908368652465974,4.514804897828962,100.33757680489936,28.899945616893827,6.226168943878298,1.087399567034452,89.30935833898639,16.605268305545415,7.108049411254976,1.1441263960048773,90.21138141111207,17.31571685900361,0.8823432283126366,0.14598503553716397,90.3730894955105,15.8641136877968,49.1746950237952,0.8823432283126366,20.4300331758172,0.14598503553716397
5,PM7.1319,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_01,COC_N_02,COV_N_03,MER_N_03,15.643241574781579,7.078939354989492,102.47354707958513,39.2166954738668,14.515635917915844,2.597020335256328,9.079884190276802,1.6698441637815775,87.72425672243264,15.78257330867307,9.566012959129399,2.145303343179357,98.56572475259199,162.89278424058918,1.1278383158773913,0.3149128535328646,6.56843397624586,1.915190023769774,85.0783131142539,23.96311505883827,6.077333285603642,2.4793939504856826,98.76974908924545,24.78781037388879,99.92673936832095,26.071261057816404,16.118333611486364,4.076910255190186,99.81120965533827,34.96851672426773,5.440676151606701,0.7990224834263416,85.1757857232892,12.291055225131162,4.949749445186582,0.8489188946929456,85.85272344638689,12.666152803940728,0.5236402770025277,0.09220850192195497,85.77768195441259,14.790258025120428,48.51269098147475,0.5236402770025277,18.64037554535043,0.09220850192195497
6,PM7.1339,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_02,COC_N_01,COV_N_02,MER_N_03,15.606518787801186,36.705795067416865,102.56040144868312,181.92859728683757,11.8826810043243,12.496906542725869,12.97950842193592,6.0108519558445215,99.09438166994427,102.52316712356502,9.939342521649753,7.570029819541436,98.6080255122244,148.87464616046012,3.7245226404048055,3.5489693036746814,2.629241827561879,1.1644313397324493,95.58749302331859,89.7390041416508,5.667336530654253,4.014825724622782,99.3429321780572,83.62007824527858,99.11257176810125,41.356814624437604,4.367880111263211,3.628610707327223,99.77946888019358,64.36706629086329,1.0975060138228012,0.39427104884236536,96.20626476697777,60.475006634111814,1.9448938828848052,1.0039336572226225,96.00959151100899,34.297230510438894,3.042320367503858,0.9671148701026803,96.5844291605641,49.45491156991011,50.27463390613715,1.0975060138228012,44.48296488688605,0.39427104884236536
7,PM7.1430,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_04,COC_N_04,COV_N_01,MER_N_02,11.124131112940585,5.908194661326353,102.34741260951135,57.167977804952706,102.86994774856858,58.925420211562674,103.55236689022902,60.19862615313408,20.903315098963002,3.9526473113217495,2.510428718314035,0.670742337841738,99.68775988305335,227.97776033635674,100.18618311049197,255.09402546606736,100.78473782618521,274.5017128639513,16.219391119472405,4.121396849523054,8.613789809180354,3.604490294567374,0.574401581817362,1.9133706829262005,1.5669383966071413,5.705903083367445,83.49131595581254,21.726275101370412,101.64688970092001,44.2481574056077,1.0337573606187038,4.492847348985235,83.9919889631502,22.1127827361175,102.16462464817847,45.352620584554096,84.59905459786886,22.423659876208607,102.82917932384787,46.172072568221076,19.392956274183692,3.346300581810013,59.52812241571023,0.574401581817362,55.696046869513026,0.670742337841738
8,PM7.1449,ADE_HEX_06,C22_N_01,CHK_N_06,CNL_N_01,COC_N_01,COV_N_03,MER_N_01,14.280533348354375,9.367559452249038,14.823659013936325,4.923754267799724,13.805373122372291,2.9556671835104575,87.82332651436364,17.68291350032845,86.02353850282917,16.698303837659065,8.788590937280247,4.0899767449510485,0.5493822708278927,0.31914626245182237,0.4809125039084376,0.14221510860662184,85.2790745214335,23.19045595212672,83.59306271018241,21.64275473781732,5.4955804582210535,6.393312486491946,1.030166048384214,0.21163041505708488,85.22834315254467,16.505893928794695,83.54741557320163,15.620489064102946,6.036678869982632,2.5734455576799307,85.32636069982632,12.50444443458353,83.63596074017545,11.93307513345981,5.023235920187627,1.2539498916647465,1.905060195921092,0.2608063257897688,85.98700552166076,19.98916771984866,84.25031054283441,18.777584237825344,43.94826529373467,0.4809125039084376,9.858883154418987,0.14221510860662184
9,PM7.1451,ADE_HEX_06,C22_N_01,CHK_N_06,CNL_N_01,COC_N_01,COV_N_03,MER_N_03,14.43308875482676,8.785600078406416,14.526158100713605,5.180808649468605,14.194901317178974,2.720781812234906,72.43975202744022,13.449405794927062,86.57374910245953,16.92350527551159,8.63634924115579,2.7627619230007787,0.17457329250758297,0.08992824072379794,0.23976042726215802,0.055058796645996645,70.17194581445968,15.512740072316562,84.11697203564084,19.778252732322432,5.796837836348158,2.561125114788953,0.37334807694275746,0.0676888231407462,70.1671822281355,12.343527899961964,84.10896813417995,15.535368294558294,5.890855442035391,1.7202476008026844,70.18583538273431,8.66715809185832,84.13803363311719,10.749160105860728,5.5586746396221445,0.9521870051026103,14.138046160973342,1.7680769603227995,70.73847721284731,11.77664233686455,84.81758166750504,14.786435166047008,41.020051929908874,0.17457329250758297,7.91364098927937,0.055058796645996645
